src/serve/acp-http/transport.test.ts(665,22): error TS2339: Property 'body' does not exist on type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(691,22): error TS2339: Property 'body' does not exist on type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(1099,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(1123,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(1160,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(1206,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(1240,31): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(1321,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(1427,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(1527,28): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(1600,32): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(1642,32): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(1706,32): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(1775,36): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(1777,37): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(1863,36): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(1865,36): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(1927,36): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(1929,36): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
src/serve/acp-http/transport.test.ts(1990,36): error TS2345: Argument of type 'Response' is not assignable to parameter of type 'Response<any, Record<string, any>>'.
